Date,Lcl_Bus_Speeds,SBS_Bus_Speeds
2021-02,8.001543119,
2021-02,6.508927738,
2021-02,6.131359953,
2021-02,11.29569819,
2021-02,9.526069833,
2021-02,6.935927111,
2021-02,7.029001282,
2021-02,6.703380983,
2021-02,15.27054541,
2021-02,6.92158903,
2021-02,7.538622987,
2021-02,7.732425002,
2021-02,5.805934042,
2021-02,6.275162556,
2021-02,7.189676194,
2021-02,5.105896196,
2021-02,6.130265521,
2021-02,7.105771923,
2021-02,6.399110461,
2021-02,6.217167243,
2021-02,6.171284492,
2021-02,7.284719413,
2021-02,6.149580214,
2021-02,9.545107621,
2021-02,6.159755676,
2021-02,8.115740856,
2021-02,6.39931451,
2021-02,6.722902417,
2021-02,8.093814046,
2021-02,6.149596606,
2021-03,7.02633006,
2021-03,8.318712167,
2021-03,5.636235214,
2021-03,8.122854124,
2021-03,5.885130228,
2021-03,5.947367686,
2021-03,8.822804238,
2021-03,6.712639337,
2021-03,5.166683179,
2021-03,5.767078988,
2021-03,8.19505303,
2021-03,6.457117282,
2021-03,6.124093022,
2021-03,11.52821145,
2021-03,9.409257932,
2021-03,6.826850288,
2021-03,7.202269304,
2021-03,6.711804184,
2021-03,15.37456412,
2021-03,6.801742993,
2021-03,7.530349462,
2021-03,7.786813878,
2021-03,5.754064015,
2021-03,6.120818478,
2021-03,7.362426547,
2021-03,5.109557878,
2021-03,6.034476324,
2021-03,7.18216482,
2021-03,6.349038474,
2021-03,6.067368227,
2021-03,6.181546194,
2021-03,7.294841476,
2021-03,6.091749009,
2021-03,10.51649046,
2021-03,6.062714265,
2021-03,8.204685628,
2021-03,6.394947736,
2021-03,6.78683087,
2021-03,8.13893196,
2021-03,6.141389776,
2021-04,7.009939609,
2021-04,8.221220284,
2021-04,5.668997637,
2021-04,8.162972889,
2021-04,6.002382652,
2021-04,5.952062515,
2021-04,8.716641472,
2021-04,6.639086438,
2021-04,5.108226999,
2021-04,5.692386692,
2021-04,8.184427475,
2021-04,6.534448013,
2021-04,6.05901485,
2021-04,11.47319543,
2021-04,9.303081586,
2021-04,6.786169564,
2021-04,7.044143239,
2021-04,6.597656546,
2021-04,14.91165321,
2021-04,6.956891219,
2021-04,7.376573934,
2021-04,7.687131079,
2021-04,5.755672541,
2021-04,6.028493238,
2021-04,7.255609169,
2021-04,5.012610554,
2021-04,6.035473839,
2021-04,7.02760286,
2021-04,6.297316913,
2021-04,6.129797179,
2021-04,6.171703385,
2021-04,7.18378756,
2021-04,6.074084863,
2021-04,9.646124142,
2021-04,5.996999519,
2021-04,8.20617569,
2021-04,6.375093057,
2021-04,6.681696789,
2021-04,8.173610365,
2021-04,6.098088397,
2021-05,6.88601342,
2021-05,8.146605678,
2021-05,5.631580914,
2021-05,8.121207417,
2021-05,6.018457727,
2021-05,5.924347744,
2021-05,8.627223909,
2021-05,6.564048294,
2021-05,5.033551311,
2021-05,5.709876463,
2021-05,8.077944363,
2021-05,6.4341763,
2021-05,6.061947775,
2021-05,11.42672338,
2021-05,9.269930664,
2021-05,6.704310452,
2021-05,6.899756843,
2021-05,6.577872595,
2021-05,14.64921414,
2021-05,6.882716408,
2021-05,7.383369954,
