month,borough,trip_type,route_id,period,total_operating_time,total_mileage,average_speed
2018-02,Bronx,LCL/LTD,BX16,Off-Peak,4382245,42003846,9.585006315
2018-02,Bronx,LCL/LTD,BX16,Peak,2644181,22827049.2,8.632937458
2018-02,Bronx,LCL/LTD,BX17,Off-Peak,5950938,42543831.6,7.149096764
2018-02,Bronx,LCL/LTD,BX17,Peak,3598840,22813398,6.339097598
2018-02,Bronx,LCL/LTD,BX19,Off-Peak,10335738,56846494.8,5.499993789
2018-02,Bronx,LCL/LTD,BX19,Peak,4349546,21485822.4,4.939785072
2018-02,Bronx,LCL/LTD,BX2,Off-Peak,9351732,52796444.4,5.645632745
2018-02,Bronx,LCL/LTD,BX2,Peak,5041955,27854420.4,5.524527768
2018-02,Bronx,LCL/LTD,BX20,Off-Peak,161014,1340953.2,8.328177674
2018-02,Bronx,LCL/LTD,BX20,Peak,636003,4963197.6,7.803733001
2018-02,Bronx,LCL/LTD,BX21,Off-Peak,9074230,63688316.4,7.018591814
2018-02,Bronx,LCL/LTD,BX21,Peak,3982582,24428412,6.133812687
2018-02,Bronx,LCL/LTD,BX22,Off-Peak,5423173,35156725.2,6.482685542
2018-02,Bronx,LCL/LTD,BX22,Peak,3248978,18881247.6,5.811442121
2018-02,Bronx,LCL/LTD,BX23,Off-Peak,2197078,25823109.6,11.75338773
2018-02,Bronx,LCL/LTD,BX23,Peak,1981209,21787178.4,10.99691067
2018-02,Bronx,LCL/LTD,BX24,Off-Peak,1046238,9999478.8,9.557556502
2018-02,Bronx,LCL/LTD,BX24,Peak,390946,3432427.2,8.779798745
2018-02,Bronx,LCL/LTD,BX26,Off-Peak,4415822,32280346.8,7.310155799
2018-02,Bronx,LCL/LTD,BX26,Peak,2411252,15993846,6.633004763
2018-02,Bronx,LCL/LTD,BX27,Off-Peak,3324622,25056864,7.536755758
2018-02,Bronx,LCL/LTD,BX27,Peak,2257665,15431346,6.835091123
2018-02,Bronx,LCL/LTD,BX28,Off-Peak,6302386,47157361.2,7.482461595
2018-02,Bronx,LCL/LTD,BX28,Peak,2355401,14955944.4,6.349638299
2018-02,Bronx,LCL/LTD,BX29,Off-Peak,1462757,22135971.6,15.1330478
2018-02,Bronx,LCL/LTD,BX29,Peak,835374,11927898,14.27851238
2018-02,Bronx,LCL/LTD,BX3,Off-Peak,6200329,45250610.4,7.298098278
2018-02,Bronx,LCL/LTD,BX3,Peak,3149607,19620262.8,6.229432053
2018-02,Bronx,LCL/LTD,BX30,Off-Peak,5712277,43462987.2,7.608697407
2018-02,Bronx,LCL/LTD,BX30,Peak,3666968,25908580.8,7.065395935
2018-02,Bronx,LCL/LTD,BX31,Off-Peak,6168796,48568870.8,7.873314469
2018-02,Bronx,LCL/LTD,BX31,Peak,3023909,21448486.8,7.092967017
2018-02,Bronx,LCL/LTD,BX32,Off-Peak,4684360,27751629.6,5.92431615
2018-02,Bronx,LCL/LTD,BX32,Peak,2560834,13770435.6,5.377324575
2018-02,Bronx,LCL/LTD,BX33,Off-Peak,1790384,12664252.8,7.073484124
2018-02,Bronx,LCL/LTD,BX33,Peak,934928,5184766.8,5.545632177
2018-02,Bronx,LCL/LTD,BX34,Off-Peak,2709897,21879266.4,8.073836902
2018-02,Bronx,LCL/LTD,BX34,Peak,1185054,8255426.4,6.966287106
2018-02,Bronx,LCL/LTD,BX35,Off-Peak,7398708,44794234.8,6.054332027
2018-02,Bronx,LCL/LTD,BX35,Peak,3571839,18439117.2,5.162359558
2018-02,Bronx,LCL/LTD,BX36,Off-Peak,16006381,100505962.8,6.279118484
2018-02,Bronx,LCL/LTD,BX36,Peak,8014499,47303218.8,5.902205341
2018-02,Bronx,LCL/LTD,BX38,Off-Peak,3461823,25183807.2,7.274724098
2018-02,Bronx,LCL/LTD,BX38,Peak,2091659,14269564.8,6.822127699
2018-02,Bronx,LCL/LTD,BX39,Off-Peak,7370376,50407491.6,6.839202179
2018-02,Bronx,LCL/LTD,BX39,Peak,3785071,23436194.4,6.19174499
2018-02,Bronx,LCL/LTD,BX4,Off-Peak,2741966,18719481.6,6.827029073
2018-02,Bronx,LCL/LTD,BX4,Peak,1416963,8453098.8,5.965645398
2018-02,Bronx,LCL/LTD,BX40,Off-Peak,5699438,37773817.2,6.627638936
2018-02,Bronx,LCL/LTD,BX40,Peak,2392474,14107716,5.896706088
2018-02,Bronx,LCL/LTD,BX41,Off-Peak,5507639,42870985.2,7.783913434
2018-02,Bronx,LCL/LTD,BX41,Peak,2122989,14308585.2,6.739830117
2018-02,Bronx,LCL/LTD,BX42,Off-Peak,5592292,36124405.2,6.459677928
2018-02,Bronx,LCL/LTD,BX42,Peak,2658500,15641521.2,5.883588941
2018-02,Bronx,LCL/LTD,BX46,Off-Peak,631861,6523318.8,10.32397758
2018-02,Bronx,LCL/LTD,BX46,Peak,265220,2450048.4,9.237796546
2018-02,Bronx,LCL/LTD,BX4A,Off-Peak,2563868,16372195.2,6.385740296
2018-02,Bronx,LCL/LTD,BX4A,Peak,1645969,9562532.4,5.809667375
2018-02,Bronx,LCL/LTD,BX5,Off-Peak,4328166,39257647.2,9.070272998
2018-02,Bronx,LCL/LTD,BX5,Peak,2628450,20874045.6,7.941579866
2018-02,Bronx,LCL/LTD,BX6,Off-Peak,7096287,51257217.6,7.223103801
